State,City Or County,County/Parish
California,Los Angeles,Los Angeles
California,Sacramento,Sacramento
Florida,Sarasota,Sarasota
Virginia,Newport News,Newport News
California,San Francisco,San Francisco
Colorado,Denver,Denver
Texas,El Paso,El Paso
New York,Queens,Queens
California,Fresno,Fresno
Pennsylvania,Philadelphia,Philadelphia
South Carolina,Florence,Florence
Alaska,Anchorage,Anchorage
Georgia,Macon,Macon
Mississippi,Jackson,Jackson
Wisconsin,Milwaukee,Milwaukee
Virginia,Culpeper,Culpeper
Texas,Dallas,Dallas
Rhode Island,Providence,Providence
California,San Bernardino,San Bernardino
Texas,Houston,Houston
Virginia,Norfolk,Norfolk
Pennsylvania,Chester,Chester
California,San Diego,San Diego
Ohio,Sandusky,Sandusky
Georgia,Decatur,Decatur
Illinois,Montgomery,Montgomery
Texas,Austin,Austin
Indiana,Franklin,Franklin
Virginia,Manassas,Manassas
Pennsylvania,Erie,Erie
Tennessee,Jackson,Jackson
Alabama,Mobile,Mobile
Maryland,Baltimore,Baltimore
Illinois,Kankakee,Kankakee
Iowa,Des Moines,Des Moines
South Carolina,Bamberg,Bamberg
Indiana,Elkhart,Elkhart
Illinois,Peoria,Peoria
Oklahoma,Tulsa,Tulsa
Texas,Tyler,Tyler
North Carolina,Durham,Durham
South Carolina,Orangeburg,Orangeburg
Virginia,Hopewell,Hopewell
Louisiana,Lafayette,Lafayette
New York,Bronx,Bronx
Virginia,Suffolk,Suffolk
South Carolina,Charleston,Charleston
New Jersey,Camden,Camden
Montana,Deer Lodge,Deer Lodge
Connecticut,New Haven,New Haven
Alabama,Montgomery,Montgomery
Virginia,Richmond,Richmond
Virginia,Portsmouth,Portsmouth
Kansas,Wichita,Wichita
Virginia,Roanoke,Roanoke
North Carolina,Madison,Madison
North Carolina,Wilson,Wilson
New York,Albany,Albany
California,Riverside,Riverside
Georgia,Jackson,Jackson
Illinois,Champaign,Champaign
Virginia,Lynchburg,Lynchburg
Michigan,Saginaw,Saginaw
Texas,Lubbock,Lubbock
Ohio,Hamilton,Hamilton
Texas,Bastrop,Bastrop
Texas,Crosby,Crosby
Michigan,Jackson,Jackson
Connecticut,Hartford,Hartford
Virginia,Halifax,Halifax
Georgia,Appling,Appling
Michigan,Kalamazoo,Kalamazoo
Virginia,Chesapeake,Chesapeake
Virginia,Gloucester,Gloucester
Virginia,Petersburg,Petersburg
Pennsylvania,York,York
South Carolina,Allendale,Allendale
Virginia,Hampton,Hampton
South Carolina,Greenwood,Greenwood
Virginia,Alexandria,Alexandria
Virginia,Virginia Beach,Virginia Beach
Ohio,Warren,Warren
Louisiana,Natchitoches,Natchitoches
South Carolina,Spartanburg,Spartanburg
North Carolina,Henderson,Henderson
Florida,Alachua,Alachua
Alabama,Madison,Madison
Texas,Nacogdoches,Nacogdoches
South Carolina,Sumter,Sumter
South Carolina,Lancaster,Lancaster
Maryland,Frederick,Frederick
South Carolina,Abbeville,Abbeville
Montana,Missoula,Missoula
Texas,Henderson,Henderson
Pennsylvania,Lebanon,Lebanon
Mississippi,Grenada,Grenada
South Carolina,Aiken,Aiken
South Carolina,Anderson,Anderson
Illinois,Rock Island,Rock Island
Colorado,Pueblo,Pueblo
Florida,Madison,Madison
South Carolina,Greenville,Greenville
South Carolina,Barnwell,Barnwell
Wisconsin,Racine,Racine
Michigan,Muskegon,Muskegon
California,Tulare,Tulare
California,Merced,Merced
Missouri,Cape Girardeau,Cape Girardeau
Texas,Galveston,Galveston
Iowa,Dubuque,Dubuque
Wisconsin,La Crosse,La Crosse
Tennessee,Sequatchie,Sequatchie
Arizona,Yuma,Yuma
Texas,Jasper,Jasper
Pennsylvania,Lancaster,Lancaster
Virginia,Charlottesville,Charlottesville
Virginia,Harrisonburg,Harrisonburg
Massachusetts,Worcester,Worcester
Wisconsin,Kenosha,Kenosha
