Incident ID,Incident Date,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested
271363,2014-12-29,0,4,0,0,0
269679,2014-12-27,1,3,0,0,0
270036,2014-12-27,0,4,0,0,0
269167,2014-12-26,1,3,0,0,0
268598,2014-12-24,1,3,0,0,0
267792,2014-12-23,1,3,0,0,2
268282,2014-12-22,1,3,0,0,0
282186,2014-12-22,3,2,1,0,0
267721,2014-12-22,0,5,0,0,0
266570,2014-12-21,2,2,0,0,0
268910,2014-12-21,1,4,0,0,2
266424,2014-12-21,1,8,0,0,0
266407,2014-12-20,4,0,0,0,1
264901,2014-12-16,0,4,0,0,0
263556,2014-12-15,6,0,1,0,0
263376,2014-12-14,1,4,0,0,0
263382,2014-12-13,0,5,0,0,0
262202,2014-12-12,0,4,0,0,3
259935,2014-12-07,0,4,0,0,0
227011,2014-12-02,1,3,0,2,0
226983,2014-12-02,0,5,0,0,0
226534,2014-11-30,0,5,0,0,0
226388,2014-11-30,0,4,0,0,0
226150,2014-11-29,1,3,0,0,0
225903,2014-11-29,3,2,0,0,0
225830,2014-11-28,0,4,0,0,0
226018,2014-11-27,2,3,0,0,0
225036,2014-11-26,0,6,0,0,0
224362,2014-11-23,0,4,0,0,0
224131,2014-11-23,1,4,0,0,0
223651,2014-11-22,4,1,0,0,1
223799,2014-11-22,3,1,1,0,0
223729,2014-11-22,1,3,0,0,0
223582,2014-11-21,0,6,0,0,0
222792,2014-11-19,1,3,0,0,0
222393,2014-11-18,0,4,0,0,0
221554,2014-11-16,1,4,0,0,1
224746,2014-11-16,0,5,0,1,0
221347,2014-11-15,4,0,0,0,1
221577,2014-11-15,1,3,0,0,0
217831,2014-11-08,0,5,0,0,0
218054,2014-11-07,0,4,0,0,0
217401,2014-11-07,0,4,0,0,0
216533,2014-11-05,0,4,0,0,0
212884,2014-10-29,0,5,0,0,0
211348,2014-10-26,4,0,0,0,1
210363,2014-10-24,4,1,1,0,0
209134,2014-10-18,0,4,0,0,1
207145,2014-10-18,1,3,0,0,0
207687,2014-10-18,0,4,0,0,0
206303,2014-10-16,1,3,0,0,1
205726,2014-10-14,2,2,1,0,0
205298,2014-10-13,0,4,0,0,0
204310,2014-10-12,3,1,0,0,0
204477,2014-10-12,1,3,0,0,0
204236,2014-10-11,0,4,0,1,1
202981,2014-10-08,0,4,0,0,0
204254,2014-10-08,4,0,0,0,0
201052,2014-10-05,1,5,0,0,0
201630,2014-10-05,3,1,0,0,0
201648,2014-10-04,2,2,0,0,0
201502,2014-10-04,0,4,0,0,0
198051,2014-09-29,1,6,0,1,2
198527,2014-09-29,0,4,0,0,0
197416,2014-09-28,0,4,0,0,0
197384,2014-09-28,0,15,0,0,0
197287,2014-09-27,0,5,0,0,0
198064,2014-09-26,1,4,0,0,2
