Incident ID,State,City Or County,Address
271363,Louisiana,New Orleans,Poydras and Bolivar
269679,California,Los Angeles,8800 block of South Figueroa Street
270036,California,Sacramento,4000 block of May Street
269167,Illinois,East St. Louis,2500 block of Summit Avenue
268598,Missouri,Saint Louis,18th and Pine
267792,Kentucky,Winchester,260 Oxford Dr
268282,Michigan,Detroit,Charlevoix and Philip
282186,New York,Webster,191 Lake Rd
267721,Illinois,Chicago,5700 block of South Green Street
266570,Florida,Sarasota,4034 N Washington Blvd
268910,Mississippi,Waynesboro,Central Avenue
266424,Illinois,Calumet City,600 block of Escanba
266407,Illinois,Rockford,3200 block of Montrose Avenue
264901,New Jersey,Elizabeth,Anna Street
263556,Pennsylvania,Lansdale,100 block of West 5th St
263376,Florida,Miami,1311 Northwest 2nd Avenue
263382,Florida,Tampa,810 E. Skagway Ave.
262202,Oregon,Portland,717 North Killingsworth Court
259935,Indiana,South Bend,16000 block of Roosevelt Road
227011,Missouri,Saint Louis,6000 block of Virginia Avenue
226983,Virginia,Newport News,6128 Jefferson Ave 
226534,Tennessee,Chattanooga,2412 East 13th Street 
226388,New York,Brooklyn,375 Remsen Avenue
226150,New Jersey,Newark,348 S Orange Ave
225903,Georgia,Atlanta,1600 block of Richmond Avenue
225830,Tennessee,Memphis,1849 East Brooks Road 
226018,Texas,Georgetown,Pvt Rd 934
225036,California,San Francisco,Mission and 13th streets
224362,Virginia,Parksley,Parksley Road
224131,Colorado,Denver,Federal Boulevard and 16th Avenue
223651,Ohio,Cleveland,1443 E 92nd St
223799,South Dakota,Sisseton,Fourth Avenue
223729,Ohio,Springfield,Clifton Avenue and Rice Street
223582,Pennsylvania,Pittsburgh,600 block of Miller Avenue
222792,Illinois,Chicago,700 block of North St. Louis Avenue
222393,Nevada,North Las Vegas,Englestad Street
221554,Ohio,Akron,1891 E Market St
224746,Texas,El Paso,115 S. Durango
221347,Missouri,Springfield,2555 N. Glenstone
221577,Florida,Miami,NW 55th and 12th
217831,California,Pomona,499 E. Arrow Highway
218054,California,Los Angeles,East 126th Street and North Compton Avenue
217401,California,Compton,136th Street 
216533,California,San Francisco,1100 block of Alabama Street 
212884,Tennessee,Memphis,Yale Road and Ramill Road
211348,Kentucky,Cadiz,1410 Old Dover Road
210363,Washington,Marysville,5611 108th St NE
209134,New York,Queens,33-02 Queens Blvd
207145,South Carolina,Graniteville,192 Breezy Hill Road
207687,New York,Brooklyn,Lenox Road
206303,Michigan,Detroit,Mogul Street
205726,Georgia,Peachtree Corners,6505 Bannor Lane
205298,Georgia,Atlanta,85 Mount Zion Road
204310,California,Stockton,1100 block of East March Lane
204477,Georgia,Atlanta,Arthur Langford Jr Place
204236,New York,Utica,222 Bleecker Street
202981,Georgia,Atlanta,Auburn Avenue and Edgewood Avenue
204254,New York,Guilderland,1846 Western Ave
201052,Michigan,Detroit,East 7 Mile Road and Sherwood Street
201630,Florida,Jacksonville,7300 block of Linda Drive
201648,Tennessee,Memphis,1400 block of Gherald Street
201502,California,Pomona,1925 West Holt Avenue 
198051,South Carolina,Walterboro,29 Sandy Dam Lane
198527,California,Fresno,2300 block of West Fountain Way 
197416,Pennsylvania,Philadelphia,2800 block of Hope Street
197384,Florida,Miami,NW 7th Ave and NW 64th St
197287,Missouri,Saint Louis,2000 block East John Avenue
198064,South Carolina,Florence,650 Turner Rd
194945,Ohio,East Liverpool,440 First St
193960,Mississippi,Batesville,8297 Curtis Rd
193570,New York,Queens,32-14 106th St
192851,Florida,Bell,2550 NW 29th Terrace
191416,Louisiana,New Orleans,Chef Menteur Highway and Dale Street
190874,Texas,Flour Bluff,229 Naval Air Station Drive
2172621,Texas,Corpus Christi,229 NAS Dr
190599,Alaska,Anchorage,225 E Fifth
189562,Michigan,Detroit,14000 block of Patton
188332,Florida,Orlando,2015 Orange Blossom Trail
186488,Georgia,Macon,576 Poplar Street
185393,Michigan,Flint,2400 block of Martin Luther King Boulevard
185430,California,Los Angeles,East 27th and Stanford 
185196,Mississippi,Jackson,3622 Medgar Evers Boulevard
184507,California,Highland,25000 block of Fifth Street 
183432,California,Livermore,200 block of South Q Street 
182974,Florida,Brooksville,820 Peach St
181947,Michigan,Detroit,16600 block of Edmore
180007,California,San Fernando,1400 block of Celis Street
180018,Illinois,Chicago,8300 block of South Halsted Street
180580,Georgia,Augusta,1013 Carrie Street
178425,Tennessee,Memphis,1400 block of Briarcrest Lane
178006,Louisiana,Saint Martinville,Main and Hyacinth streets
177770,California,East Palo Alto,Purdue Street and Georgetown Avenue
175943,Massachusetts,Boston,Edinboro Street
175911,New York,Queens,153-38 118th Ave
175839,Nevada,Las Vegas,Owens Avenue and H Street
175788,Utah,Salt Lake City,122 Pierpont Avenue
175779,New Jersey,Plainfield,West 3rd Street and Monroe Avenue
174560,Tennessee,Memphis,797 Pope Street
174544,Tennessee,Clarksville,Treeland Drive
175767,Louisiana,New Orleans,New Orleans and North Rocheblave streets
173369,New York,Buffalo,Oakmont Ave
173628,Georgia,Cartersville,Brent Cir
172304,Louisiana,New Orleans,5400 block of Burgundy St
172205,District of Columbia,Washington,50 block of N St SW
172288,Georgia,Wrightsville,2455 Idylwild Dr
172180,California,Moreno Valley,16300 block of Heather Glen Road 
171802,Minnesota,Minneapolis,400 3rd Ave N
173786,District of Columbia,Washington,2nd St NE and Todd Pl NE
171823,New Mexico,Albuquerque,3426 Vassar NE
171778,Wisconsin,Milwaukee,3000 block of N. 28th Street 
170704,California,Bakersfield,1700 block of Quincy Street 
169326,Georgia,Atlanta,1100 block of Joseph E. Boone Boulevard NW
168844,Virginia,Culpeper,14458 Rixeyville Rd
168551,Texas,Humble,3403 FM 1960
169024,Tennessee,Columbia,East 9th Street and Bridge Street
168786,Missouri,Saint Louis,5200 block of Thekla 
