City,State,County
East St. Louis,Illinois,St. Clair County
Flour Bluff,Texas,Nueces County
East Palo Alto,California,San Mateo County
Skyway,Washington,King County
Centreville,Illinois,St. Clair County
Manhattan,New York,New York County
Seat Pleasant,Maryland,Prince George's County
Lookout Valley,Tennessee,Hamilton County
Orlando (Pine Hills),Florida,Orange County
Lovejoy (Brooklyn),Illinois,St. Clair County
Minneapolis (Brooklyn Center),Minnesota,Hennepin County
New York (Manhattan),New York,New York County
Allapattah,Florida,Miami-Dade County
Springdale,Maryland,Prince George's County
Kinloch,Missouri,St. Louis County
Gates,New York,Monroe County
Tyrone,Missouri,Texas County
Beachwood (Warrensville Heights),Ohio,Cuyahoga County
Arverne (Queens),New York,Queens County
Lenox (El Dorado),Georgia,Telfair County
Chicago (Roseland),Illinois,Cook County
Mission (Palmview),Texas,Hidalgo County
Fort Lauderdale (Lauderhill),Florida,Broward County
Chicago (Englewood),Illinois,Cook County
Winston Salem (Winston-Salem),North Carolina,Forsyth County
Los Angeles (Hollywood),California,Los Angeles County
Hot Springs National Park (Hot Springs),Arkansas,Garland County
Bessemer (Brighton),Alabama,Jefferson County
Reading (Sinking Spring),Pennsylvania,Berks County
Hollywood (West Park),Florida,Broward County
Townsend (Eulonia),Georgia,McIntosh County
Saint Louis (Ferguson),Missouri,St. Louis County
District Heights (Forestville),Maryland,Prince George's County
Plantation,Florida,Broward County
Pittsburgh (Wilkinsburg),Pennsylvania,Allegheny County
Woodbridge (Lake Ridge),Virginia,Prince William County
Littleton (Highlands Ranch),Colorado,Douglas County and Jefferson County
Mc Cool (Mccool),Mississippi,Attala County
Dayton (Trotwood),Ohio,Montgomery County
Orlando (Pine Castle),Florida,Orange County
Saint Louis (University City),Missouri,St. Louis County
Los Angeles (Boyle Heights),California,Los Angeles County
New Orleans (Gentilly),Louisiana,Orleans Parish
Minneapolis (Crystal),Minnesota,Hennepin County
Corona (Queens),New York,Queens County
Los Angeles (Watts),California,Los Angeles County
Long Beach (North Long Beach),California,Los Angeles County
Palo Alto (East Palo Alto),California,San Mateo County
Espanola (Española),New Mexico,Rio Arriba County
New Orleans (Algiers),Louisiana,Orleans Parish
Palm Beach Gardens (Riviera Beach),Florida,Palm Beach County
Brandon,Alabama,Shelby County
Homestead (Munhall),Pennsylvania,Allegheny County
Indianapolis (Lawrence),Indiana,Marion County
Seattle (Skyway),Washington,King County
Salt Lake City (West Valley City),Utah,Salt Lake County
Pompano Beach (Parkland),Florida,Broward County
Lake Worth (Lantana),Florida,Palm Beach County
Cleveland (Garfield Heights),Ohio,Cuyahoga County
Saint Robert (St Robert),Missouri,Pulaski County
Minneapolis (Spring Lake Park),Minnesota,Anoka County
Saint Louis (Moline Acres),Missouri,St. Louis County
Brownsville,Florida,Miami-Dade County
Oklahoma City (Midwest City),Oklahoma,Oklahoma County
Round Lake (Round Lake Park),Illinois,Lake County
Temple Hills (Camp Springs),Maryland,Prince George's County
Saint Louis (Wellston),Missouri,St. Louis County
Hyattsville (Landover),Maryland,Prince George's County
Milwaukee (Wauwatosa),Wisconsin,Milwaukee County
Saint Louis (Jennings),Missouri,St. Louis County
Bessemer (Hueytown),Alabama,Jefferson County
Temple Hills (Marlow Heights),Maryland,Prince George's County
Birmingham (Hoover),Alabama,Jefferson County
El Paso (Socorro),Texas,El Paso County
Warren (Howland),Ohio,Trumbull County
Chicago Heights (Ford Heights),Illinois,Cook County
Florin,California,Sacramento County
Robinsonville (Tunica Resorts),Mississippi,Tunica County
Las Vegas (Enterprise),Nevada,Clark County
Goshen,California,Tulare County
Cedar City (Enoch),Utah,Iron County
Washington Park,Illinois,St. Clair County
Mcallen (McAllen),Texas,Hidalgo County
Mc Gregor,Texas,McLennan County
Miami (North Miami),Florida,Miami-Dade County
Fort Lauderdale (Lauderdale Lakes),Florida,Broward County
Atlanta (College Park),Georgia,Fulton County
Cowley County,Kansas,Cowley County
Willowbrook,California,Los Angeles County
Hahnville (Killona),Louisiana,St. Charles Parish
Littleton (Lakewood),Colorado,Jefferson County
Mc Coll (Mccoll),South Carolina,Marlboro County
Seattle (Des Moines),Washington,King County
Hyattsville (Adelphi),Maryland,Prince George's County
Miami (Kendall),Florida,Miami-Dade County
Gwynn Oak (Woodlawn),Maryland,Baltimore County
Saint Louis (Kinloch),Missouri,St. Louis County
La Place (Laplace),Louisiana,St. John the Baptist Parish
Mccormick,South Carolina,McCormick County
Norristown (East Norriton),Pennsylvania,Montgomery County
Fort Lauderdale (Sunrise),Florida,Broward County
McKees Rocks (Mckees Rocks),Pennsylvania,Allegheny County
